State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type
Arunachal Pradesh,Anjaw,61.5,957,28.8,1.5,64.7,50.9,21.2,0,8.6,15.9,2.9,1.1,6.8,4.7,29.6,79,97.9,55.8,78,23.6,14.3,16,2.9,Rest of India
Arunachal Pradesh,Changlang,74.6,1019,30.5,1.2,71.4,46.3,15.1,0,1.6,27.5,1.8,0,6.7,3.5,20.9,88.6,99.3,69.7,75.1,26.3,16.3,25,3.9,Rest of India
Arunachal Pradesh,Dibang Valley,67.6,1054,43.2,1.3,69.1,49.7,23.9,0,9.5,8.2,5.6,1.2,4.6,3.4,24.1,88.5,95.8,66.2,85.5,16.9,18.1,16,4.6,Rest of India
Arunachal Pradesh,East Kameng,63.1,995,31.8,3.6,64.9,57.4,23.6,0,10.6,14.6,6.2,0.8,9.7,4.7,13.7,77.5,93,53.6,76,35.7,15.8,14.2,10.2,Rest of India
Arunachal Pradesh,East Siang,76.8,1162,55.6,2.2,40,35.9,14.4,0,5.2,7.1,6.7,0.9,17.6,9.6,15.4,61.7,94.4,55.7,90.8,24.6,8.6,10.3,9,Rest of India
Arunachal Pradesh,Kra Daadi,58.1,867,27.4,0.4,46.1,39.9,16.7,0,5.7,13.4,1.4,0.6,16.5,13.1,19.5,48.1,97.7,34.9,73.5,28.8,9.4,14.5,20.2,Rest of India
Arunachal Pradesh,Kurung Kumey,72.6,869,34.7,0,54.1,47.9,16.9,0,5.6,17,4.1,3.5,16.4,7.4,22.7,82.6,97,62.3,69.2,29.2,15.1,13.9,5.8,Rest of India
Arunachal Pradesh,Lohit,73.3,839,37.3,0.6,57,43.5,14.9,0,3.7,20.8,3.3,0.3,14.6,7.3,24.7,65.2,96.9,66.2,90.2,24.5,12.7,12.9,7.6,Rest of India
Arunachal Pradesh,Longding,63.2,961,27.7,0.9,68.6,49,21.3,0,7.1,16,3.9,0.8,7.3,4.5,17.3,86.5,97,57.1,64.5,15.8,20.6,13.8,4.2,Rest of India
Arunachal Pradesh,Lower Dibang Valley,76.8,884,51.9,0,75.3,56.4,28.4,0,12.2,3.9,8.3,0.4,4.9,4.6,21.4,94.8,97.2,58.6,90.1,14.3,7.6,9.7,5,Rest of India
Arunachal Pradesh,Lower Subansiri,73.1,1370,49.9,1.5,65.9,58,25,0.1,8.9,11.8,9.8,1.4,8.5,2.3,12.4,66.4,92.3,67.7,89.8,30.7,11.5,8.1,14.4,Rest of India
Arunachal Pradesh,Namsai,72.1,867,22.2,0.2,69.5,48.1,16.7,0,2.2,24.6,4.4,0,8.7,5.2,14.6,74.5,94.6,51.2,63.6,28.7,12.4,17.7,6.2,Rest of India
Arunachal Pradesh,Papum Pare,77.6,1065,50.5,1.6,47.7,41,15.7,0,5.6,10.6,4.8,0.9,20.3,8.8,20.7,73.1,91.4,53.2,88,29.7,9,15.6,9.1,Rest of India
Arunachal Pradesh,Siang,78.6,1011,50.6,1.8,73.7,61,34.2,0,10.8,4.5,8.4,0,5,2.4,19.2,60.3,97.1,56,81.1,21.3,12.1,8.8,13,Rest of India
Arunachal Pradesh,Tawang,59.3,834,39.2,0.8,62.1,56.3,9.1,0,10.4,29.5,1.7,1.3,14.6,11.7,24.8,67.7,99.6,49.6,84.2,30.4,7.1,9,21.1,Rest of India
Arunachal Pradesh,Tirap,69,865,40.2,0.9,56.1,39.4,17.1,0,2.9,17.6,1,0.3,10.6,8.1,27.1,65.2,97.6,49.8,70.2,38.6,13.8,16,11.7,Rest of India
Arunachal Pradesh,Upper Siang,69.5,983,34.8,2,62,54,30,0,7.4,6.9,7.6,0.6,11.9,6.6,22.1,71.7,97.1,56.4,76,30.4,12.5,12,13.5,Rest of India
Arunachal Pradesh,Upper Subansiri,61.4,1135,31.8,1.3,53.2,48.4,17.5,0,6.8,14.5,3.1,4.4,17.3,8.6,19.8,74.6,98.6,56.7,77,36.8,12.2,19.2,9,Rest of India
Arunachal Pradesh,West Kameng,73,766,43.6,0.5,53.8,47.8,17.1,0,7.3,17.2,3.4,1.3,17,13.5,24.3,68.1,90.1,38.9,93.6,24.2,23.2,13.4,15.5,Rest of India
Arunachal Pradesh,West Siang,73.6,1060,46.3,2.1,46.6,38.9,15.3,0,8.1,6.7,6.8,0.6,15.5,8.2,15.4,51.6,92.1,61.4,84.6,24.5,15.1,16.2,14.9,Rest of India
Assam,Baksa,74.1,1097,27.8,0,59.2,47.3,7.1,0,3.3,33.5,2.7,0,12.5,5.7,24.8,76.2,99.8,65,89.9,41.2,17,34,8.6,Rest of India
Assam,Barpeta,75.4,1007,31.7,0,57.3,47.4,5.5,0.1,2,35.3,3.6,0.7,12.3,3.9,18.4,55.1,99.1,70.5,87.6,29.8,19.5,26.2,6.1,Rest of India
Assam,Biswanath,72.1,1014,23,0.8,72.4,56.1,11.9,0.3,2.1,36.3,4.5,0.6,5.3,1.4,29.9,73.5,99.3,56.5,84.3,42.7,27.1,41,3.3,Rest of India
Assam,Bongaigaon,77,881,28.6,0.9,57.6,45.3,5.9,0.1,2.6,30.6,4.8,0.5,16.1,5.1,23.4,65.1,98.5,57,84.5,46.2,20.2,35.3,8.8,Rest of India
Assam,Cachar,80.5,991,25.8,1,48,38.2,6.9,0.1,1,22.9,6.1,0.6,15.6,6.9,23.6,82.2,98.2,57.3,79.2,28.7,30.7,38.2,3.3,Rest of India
Assam,Charaideo,75,1040,26.2,0,67,43.9,20.1,0.1,4,14.4,4.4,0.1,8.3,3.7,22,69.5,98.7,70.5,88.2,39,23.5,34.8,4,Rest of India
Assam,Chirang,71.5,906,23,0,65.8,55.6,3.9,0.1,5.2,39.9,6.1,0.2,9.8,3.7,34.2,75.3,99.2,59.7,83.7,42.7,19.5,39.7,4.5,Rest of India
Assam,Darrang,75.2,757,27.5,0.6,46.8,36.5,3.5,0.1,2.8,25.8,3.1,0.9,14.8,5.8,18,51.2,99,53.2,84.4,42,27,33.1,5.6,Rest of India
Assam,Dhemaji,77.3,1022,43.6,0.6,72.6,45,14.6,0,3.8,23.9,1.6,1.3,7.1,3.5,28.2,67,98.9,72.8,87.3,37.2,18.3,25.7,3.5,Rest of India
Assam,Dhubri,71.8,914,20.4,1,64.1,53.2,1.8,0,1.3,44.2,5.1,0.7,11.5,4,22.6,76.7,98.2,48.4,64.2,48.5,21.5,37.8,6,Rest of India
Assam,Dibrugarh,79.5,979,33.7,0,64.6,43.6,24.3,0.1,3,10.7,4.5,0.5,8.7,4.8,28.9,76.5,99.6,82.1,93.1,27.3,20.6,32,2,Rest of India
Assam,Dima Hasao,85.1,908,42.4,0.7,65.5,44.9,10.2,0.2,4,27,3.1,0,9.7,2.6,18.3,66.6,99.2,73.8,89.5,30.6,23.6,21.7,12.5,Rest of India
Assam,Goalpara,78.5,1027,23.4,0.3,66.8,55.1,6,0.1,3.2,40.1,3.6,1.4,7.4,2.2,19.3,68.1,98.6,73.5,92.3,38.9,24.3,35.4,5.4,Rest of India
Assam,Golaghat,77.6,1145,27.9,0,61.6,35.7,13.2,0,3.1,13,5.6,0.2,10.9,4.7,25.3,63.3,100,73.5,90.4,26.3,19.2,25.5,2.4,Rest of India
Assam,Hailakandi,81.5,951,25.3,1.7,66.8,49.5,4.1,0,4.3,25,12.8,2.2,8.6,4.2,26.1,94.7,100,68.8,83,42.9,22.2,42.4,2,Rest of India
Assam,Hojai,79.1,1017,23.1,1.2,61.1,48.2,4.3,0.1,1.2,37.2,4.9,0,13.2,4.9,21.7,73.5,98.3,63.9,82.1,39.3,12.7,28.4,6,Rest of India
